texts,created_at,location
"@_myocardium_ Jinnah didnot agree for Inter marriage I think as I guess because he told her daughter that ""Didnot you find any Muslim to marry instead of a Parsi"".Which was replied by Dinna that ""You also married a Pasi"".After that Jinnah replied,""She converted to Islam at the time of marriage",2022-10-11,
"@Saralily24 Hi, Sara! Doesn’t matter what you ARE or are NOT! Be it Muslim, Catholic, Islamic, Protestant, Christian, atheist, agnostic, any color, or country of origin! You &amp; everyone are still my friend! Why? My Mom raised me to treat almost all Strangers as friends I haven’t met yet!",2022-10-11,Everywhere U Aren’t
"@AJArabic muslims who dont even consider non muslims as human, creating a boogie out of a boycott call. completely ignoring that muslims in that area killed many hindus recently by stabbing.",2022-10-11,AryaVart
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen

https://t.co/rYEFdhkZ7h",2022-10-11,
"Abu ala maududi was the first scholar, who suggested that its (Pakistan) roots (Constitution) be designed on principles of Islam. Indeed, he was ahead of his time. https://t.co/4aP1oEc6cg",2022-10-11,Pakistan
"May be they are Muslims that may be the reason or PM and FM declared them Muslims by clothes.
Let them stay take citizenship. https://t.co/bvStw4o7sR",2022-10-11,
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen

https://t.co/cxtdnlHTXP",2022-10-11,
"@ActivePatriotUK Its to process the 35000 thas in our backlogs and growing by the day, as said before this will be the one issue thatll completely destroy the so called 'conservatives' forget Rwanda its not happening n never was were being orderd to accept these muslim invaders",2022-10-11,
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen

https://t.co/AnKFGdVyNt",2022-10-11,
One do not need to be a Muslim to practice hygiene... https://t.co/ow7r2J6xfT,2022-10-11,"Chenor, Pahang"
"@ProjectLincoln I left in 2008. While McCain was good, the old woman he admonished for suggesting Obama was a secret Muslim (as if simply being of Islam was bad)… she was more emblematic of the average member of the Party I encountered. It was only time before politicians started mirroring that",2022-10-11,PNW
"They should be named and shamed they are : Muslim,Muslim,Muslim, ? , Muslim, Muslim, Muslim, Muslim, Muslim https://t.co/adRyjTCR4v",2022-10-11,UP NORTH .
Indian scumbag actors are showing support for women in iran while they treat muslims india like animals. They are being deprived of basic human rights because they believe in racial superiority just like Hitler.,2022-10-11,Swabi
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen

https://t.co/3j5Dc0o6Ph",2022-10-11,
How many Muslim are online to retweet 🔃👇 https://t.co/mEpnJ5jySJ,2022-10-11,"Kaduna, Nigeria"
"@Shells_bells75 I have a problem with all organized religion. I don’t have a problem with you being Muslim; your choice. You don’t try to convert me, we can be good friends.",2022-10-11,
"@sophielouisecc Hey Brits! At least you have got rid of EU white immigration, thanks to Brexit.

Are you enjoying the Muslim &amp; black colonization?

#deportation",2022-10-11,spain
@Ammadal57760189 @YoulotFooty @fiago7 He didn’t mention Islam,2022-10-11,
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen

https://t.co/hj7L8RiHjT",2022-10-11,
"#allamaiqbal 
Watch #ALRATV 

#milad #miladunnabi #islam #manotostage #muslim #allah #alahazrat #madinah #yarasoolallah #ulangtahun #eidmiladunnabi #madina #manotoplus #miladj #avangmusic  #mahdi #GoharShahi #radiojavan  #persian #avang #manoto #namaz #persianmusic #rabiulawal https://t.co/FCN3Ui3VDm",2022-10-11,
@Filsafat_Muslim @MakeItAQuote colored,2022-10-11,jember
@UN @UNFPA Please put a notice for India also where it is legal for underage muslim girls..,2022-10-11,India
I want Islam to beat Charles so that all the Conor McGregor fans can finally stop pretending to be Charles fans and then I am gonna start rooting for Oliveira again.,2022-10-11,Crazy Mountains
"@FreedomWorld_ A Christian woman gives her opinion on Islam! She is then called a racist for her comments on a religion?  Is the quran a religous book or a racist one? Having read it id say the latter.
I love irony.",2022-10-11,Fort William
@fatmh_alshykhh hot muslim women..wanna fuck it,2022-10-11,Germania
"What are some cool places to check out in the Muslim world?

Got my eyes on Iran, Tunisia, Lebanon, Jordan",2022-10-11,"California, USA"
@Me1ikaAhmadi And your secular ideology is killing Muslims for few centuries,2022-10-11,My own caliphate 
"Ourvoice's a globalvoice.Narrative war's escalating.Even the Haqqanis have abandoned the slogan of religious unity and are standing in line to defend tribal unity. In less than ayear,the skin of Taliban's Islam was shed andthe essence of Afghanism was revealed
#StopHazaraGenocide",2022-10-11,
"@LemarKho @Vikas88318422 @Amin_Peters @freemonotheist He not only hit Aisha, he let her father, Abu Bakr, slap her for asking him for spending money and he also let Umar slap his other wife, Hafsa.

 Hadith 1:
https://t.co/TzVC7QyPZs

Hadith 2:
https://t.co/uS6HSmDiLn",2022-10-11,
"@Genie_exchange good project 
@harun13688040 
@islam_shofiql 
@shofikz",2022-10-11,Bangladesh
"@RaoAyyazMalik @faaaaafff94 @ReDrultra0 @GeorgeNed12 @r4hema Don't worry about it, it shouldn't matter for the most part.
Muslims seem to fear sins even tho Allah is supposed to be a forgiving deity where good deeds will always outweigh bad deeds so why don't much about the deeds for the greater good while demonizing the lesser wrongdoings",2022-10-11,somewhere in borealis  he/they
"Zionists commit atrocities every day. But apparently Kanye is the problem... Jews know how to obfuscate this that it reflects nicely on them, so they can continue killing Muslims. https://t.co/lh6s95o6MI",2022-10-11,San Antonio
"@TariqKhurasani_ @theonesaifullah When you accept Islam you are like a new born baby, clean slate 

Wouldn’t that apply to him?",2022-10-11,
"@Nightmarestuf @TsarKastik For 3y there is no mercy for Serbs. Even in Serbia. Nobody was convinced.  Their leaders is free man. In WWII Muslims and Croats throw alive in deep cave my three uncle, grandad and many relatives.  My another grandad was in Mathausen. Google name Prebilovci and read.",2022-10-11,Bosnia and Herzegovina
"@goncaloirl @Randamaiza7 @Lefty_Jew I'm not on the side of muslims, I'm on the side of people killing Russian invaders.",2022-10-11,
"@UweisAlQornier @Fahadkhan6652 mashaaAllah... AllahuaAkbar..I believe Muhammad Qasim's dreams are true from ALLAH SWT. InshaAllah.. he is honest and true. May Allah swt help Pakistan and all people, especially Muslims around the world.aamiin.",2022-10-11,
@ElderSege @Clinton67824513 @apcyfrontieroyo @AdeRazakGold Behold a man crying for his pocket. Ur greed has made u foolish.. the Muslim-Muslim ticket is an act of religious bigotry.. those who condemn it are not bigots as ur belle grumblings need u to maintain.,2022-10-11,"Maple Valley, WA"
"Hindu man forcibly converted to Islam in Pakistan

https://t.co/v2DGiR4Ewo",2022-10-11,"Kishtwar, Jammu & Kashmir"
"Alongside your discussions about how to help the women of Iran (sactions relief) should be 'what am I doing for Muslim women in my home'? 

Are women not wearing a covering out of choice or out of fear?

If it is out of fear, what does that mean about your home? https://t.co/8B0v9cTfok",2022-10-11,
"@TaffyDoDo @OliverCowd @BookMormon2day I'm just wondering what he believes is true.  If he is a baptist, methodist, buddist, muslim, agnositc, athiest etc.  You left this church, so where do you go for truth?
Nowhere?  Where?  You know my standing, what is yours?  Very simple, really.",2022-10-11,Unites States
Mainers pull out receipts after Republican Paul LePage lies and claims he didn't support Muslim ban https://t.co/OYsISzOaoG https://t.co/GKkndEuFwa,2022-10-11,Las Vegas
@yasminkhalid1 She should try Indian idol next season -Indian liberals get very excited seeing Muslim girl in دوپٹہ and performing,2022-10-11,
"@China2ASEAN Empire of lies.
I am sorry for my Muslim brothers who still listens to the west, they have no moral values only they worship Satan.",2022-10-11,
"@beer_nun All three Abrahamic religions (Judaism, Islam &amp; Christianity) are misogynistic/male ego-driven tripe at their core for saying the man was created first. #Nipples #XYChromosome",2022-10-11,"Palm Springs, CA"
Bunch of Shameless Greedy Traitors Destroyed the Image of a Muslim Country 🇵🇰 Around the Globe https://t.co/ryl48WfIGp https://t.co/bhXsqP23J9,2022-10-11,"London, England 🇬🇧"
"He studied Islam for a long time and then voluntarily converted to Islam. His previous name was Wayne Parnell, now Walid, which means newborn son. Mashaallah, what a beautiful Islamic family South African cricketer Wayne Parnell or Walid has created. Best wishes https://t.co/BlpAaoqA26",2022-10-11,"England, United Kingdom "
When someone has they are hiding they're hair  they do not say I am hiding my body. You literally said body in your tweet not hair.  Muslims like to protect their women from the likes of you Perverts https://t.co/AFUf2e2w9b,2022-10-11,Your Mind
@gnostic_punk @JuliaDavisNews That’s like saying all Muslims are ISIS.,2022-10-11,"Oxford, England"
"@AJArabic Have you ever covered or posted “Sarr Tan se Juda” by muslim. A Hindu tailor &amp; one more is beheaded by so called messenger of peace.
Why Saudi ban &amp; accused you funding terrorism ? You were boycott by all gulf countries why? Look at your own concerns.",2022-10-11,"Palampur, India"
"Obviously Kanye isn't a Muslim 
&amp; whether its Black Twitter or White Twitter they both most racist race on the planet

Why Blacks are never called racist because they don't have real power

If Black ruled the world they would burn the world- look at Africa
#blacklivesmatter #BLM https://t.co/GB7XCpUl3q",2022-10-11,
@Kleihm1 @straight_path_1 @AaliyahAbraha19 @NoobMemer0 @r4hema When someone has they are hiding they're hair  they do not say I am hiding my body. You literally said body in your tweet not hair.  Muslims like to protect their women from the likes of you Perverts,2022-10-11,Your Mind
"@Reuters When Western media depicts aerial bombing of Muslim populations(eg Iraq,Gaza) we only see distant high altitude shots of buildings being blasted. It is like a video game

When Western media depicts bombing of Ukraine we see close-ups of bloodied men&amp;women suffering in the streets",2022-10-11,
@Ajiraffm @sarapeymanpour You don’t want Islam? 1400 years ago Abu Jahal and his friends said the same..,2022-10-11,
"@RazorEdgeJack @Nevid_Coronja @Yonatan_Touval @OHR_BiH *Bosnian Muslims, it is reported that they even removed the Croatian badges from their uniforms - for more, “Himmler’s Bosnian Division” by George Lepre. It was not a “small“ brigade, but a division - with up to 21,000 members (including Germans, Croats, and Albanians).",2022-10-11,
"@TheHarrisSultan Why you have a problem with it, if he did what your saying he did, according to you it is morally acceptable. Nothing to talk about. If he did something bad in Islam he can repent and move on as well.",2022-10-11,
What Do Wold Famous Celebrities Think About Islam? {English} https://t.co/hTqaaWiBeK via @YouTube,2022-10-11,"Karachi, Pakistan"
"@DrMichaelBonner @byzantinepower Blame the Muslims, he made peace with what was left of the Persian Empire.",2022-10-11,
"@hfxpublib There were no muslim girls without a hijab available? 
Why are you publicizing a tool of misogyny? 😒",2022-10-11,Québec
@BrianWh83794360 Yes indeed brothers I've also noticed the UK has just as much if not more Muslim trash as America does...  as an American that's never travel there would have never of thought it..88,2022-10-11,"Boston, MA"
"Lets decide US &amp; China WWIII

If China wins you get US and access to Atlantic &amp; Pacific Ocean and get out of Muslims business.

If US wins you get China &amp; Pakistan as complimentary, and still get tf out of Muslims business.

Deal🤝? https://t.co/fhdNFi1BI2",2022-10-11,🇮🇳
"@AmoneyResists The Democrat Party is in bed with Islam, but you keep doing you.",2022-10-11,
@naif63_2 assalam alakum help poor Indian Muslim orphan children small help https://t.co/iFKVFpIXY8,2022-10-11,
@kirawadare I’m more confused at how the kid thinks Muslim is a religion,2022-10-11,
"(2) I liked the post,explained a little about me &amp; asked if they would accept me within their circle of friends. &amp; tumbleweed :) Thankfully I have gen Muslim  friends, the kind who do accept me,as I do them b/c I dont define them by their religion,nor they me for the lack of mine",2022-10-11,
@Me1ikaAhmadi Muslim women are getting killed in india for wearing hijab where is your protest?,2022-10-11,My own caliphate 
"@mickkarma @Janmacia2001 How are they anti Semitic? Muslims and Americans make up majority of those who do circumcision. And people are advocating for children’s rights, if advocating for a child’s rights it anti Semitic, well then you are the problem here.

FGM is already banned in most countries.",2022-10-11,
@hushthfc @Wiseskay7 @SkySportsNews @HKane I think the main issue is the media have portrayed it as a pride armband when it’s not it’s a discrimination one. The whole World Cup this year is founded on corruption &amp; thousands of south East Asians including Muslims have unjustly died to make it happen,2022-10-11,
@DeeOneAyekooto He has committed Haram (an act prohibited by Islam) by touching the body of a woman who is neither his wife nor his blood relation.This is the result of nominally following anything without knowing it's proper tenets.He also felt too big to find out what to do from those who know,2022-10-11,
@BMB1_Official @HaleeAbatcha @woye1 @Ladyposhhhhh @Wanzaaam @Habuhk4 @KabirWanori @SadeeqKurbe @ahmad_ngohi @AbdulshakurKila @MalaTujjani73 Congratulation may the muslim and Islam benefited from it,2022-10-11,Sokoto State
Muslim fan and supporting this man? https://t.co/Tiz4kEJ3aj https://t.co/NFMmQG1dFl,2022-10-11,
wl Congratulations @jhjhjh9808 @zahanur_islam @BD9413903189 @JWCryptoLady1 @SanjayS41016530 @MsArya13 @chokkidoki @godfery_agnes @Brittne02668614 @_Hubbard__ @Moira_Fred_ @CuteBoyBunny2 @young_rich_fuck @TheCryptoRabbi1 https://t.co/V2Jqm1IhMU,2022-10-11,
"This time fake Hindus(sanatani) are not ready to accept that Kalki/Maitreya/Mahdi/2nd coming of Christ/Messiah is born from Ahl-e-Bait.
They were expecting him from a Hindu Family. 
But i follow Sanatan/Islam.

Its fine.I choose that nation which is ready to accept me.",2022-10-11,India
wl Congratulations @leniisek13 @GHANSHY28926359 @LeeKatkin @laismedley_ @AlmaBird_ @pmaeugen_ @SANJAYK09936984 @muneeba16258989 @PokokTrader @AMARSIN94991219 @jhjhjh9808 @zahanur_islam @BD9413903189 @JWCryptoLady1 https://t.co/afSFcSLRVa,2022-10-11,
"BRUTAL BENGALI MUSLIM VIOLENCE ON BENGALI DALITS 

Kolkata's Muslim neighborhoods are simmering in massive violence against very poor &amp; defenseless BENGALI DALITS perpetuated by affluent Bengali Pathan Muslims &amp; their OBC Bengali Muslim goons with ties to Mamata Banerjee's TMC. https://t.co/FhdneVhKVS",2022-10-11,"Ludhiana, India"
"@AnnHornigold @MarkWDG @DavidLammy @trussliz As NEVER written by any Labour Councillor, Mayor, Politician ever….the rape of young white girls IGNORED for the sake of diversity and more importantly, the Pakistani Muslim vote.
SHAME ON EVERYONE OF THEM…..",2022-10-11,Wales/Spain
"@EdBernardMusic1 @BernieKram @QasimRashid The Iberian Peninsula was ruled by Muslims from the 8th century through the 12th century. In the early 12th century Christian states became increasingly aggressive, that coupled with divisions among Muslim rulers is how Christians gained control of Spain.",2022-10-11,"Philadelphia, PA"
"@BahutvaKtka @DgpKarnataka @Prakashmaasti @dhanyarajendran @yehlog @dpkBopanna @bharathjoshi @Rushda_Khan_ @Aakar__Patel India has become anti Muslim country, indian Muslims are being killed by extremists hindus",2022-10-11,Kingdom of Saudi Arabia
"@afreenfatimaali @abdullahadam So, seeing a muslim woman without hijab makes muslim men go full beast mode? 🤣🤣👍",2022-10-11,
OMG WTF IS WRONG WITH YOU?!!! AS A MUSLIM I FEEL DISGUSTED OF YOU SERIOUSLY I DON'T GET THE HYPE OF HIM TBH AND GLAD I NEVER LIKE HIM! ANYWAYS IF YOU LIKE HAIRY STYLES BLOCK ME AND DON'T FOLLOW ME! IM SO DISGUSTED💀🔪 #FreePalestine #SavePalestine https://t.co/PyPIHYXHnz,2022-10-11,(she/her) asian ! minor !
"Jihadi organizations protest outside a school in Kozhikode ( #Kerala ).

Why don't the progressives, secularists, congressmen who advise Hindus to 'keep religion within the four walls' now give the same advice to Muslims❓
Why are they silent on this matter now❓ #WhyGlorifyHijab https://t.co/fg3NMwKkVA",2022-10-11, 🇮🇳भारत 🚩कर्नाटक मंगलौर
@amrdiab Happy birthday ya hadaba ♥️,2022-10-11,"Doha, Qatar"
"@cholebhature123 @vivekagnihotri @aubankindia All religions need positive messages 

I can think of an ad film script for Nike where a Muslim girl fights to come out of burqa and wins an Olympic boxing 🥊 gold for India 🇮🇳 with the tagline: Nike - Just Do It

Howzzat?",2022-10-11,"Delhi, Gurgaon, India"
"@MustafaBatneen @Ann195465 Isis cruelty, did you also join the hundred thousand Muslims who were protesting against the abuse of their faith? I don’t think so, you were all silent also when Rushdie was attacked. Did anyone care in your countries ? 

Hypocrite 🤮🤮🤮🤮

https://t.co/hYhNHBmHkd",2022-10-11,Nederland
@amitmalviya This argument is just like there is larger fall in muslim tfr.,2022-10-11,Chhattisgarh
"Creative-Critical For(u)m launches 13 Oct 4-5pm with special webinar with Dr Asiya Islam @asiyaislam @CamEdFac 

Check exciting line up leading up to #GoingPlacesConference @kaisyngtan @debrisstevenson @Jonzid @Thegirldreams 

Still time to RSVP by 12 Oct
https://t.co/JQUJz7NvoI https://t.co/bXw0IuVZKf",2022-10-11,"University of Cambridge, UK"
"@lollylarry1 Emmanuel, a Christian, supplied Boko Haram weapons. 

Anyone wey talk about Muslim-Muslim ticket issue again na mumu.",2022-10-11,
"@Schandillia There is widespread support for destruction of Hindu and Jewish places of worship in textbooks of madarsa board and Muslim intellectuals with large following like Firangi mahal, Shekhar Sirhindi and Abul Kalam Azad, education minister of secular India.",2022-10-11,
"@BiryaniGuy07 Islamophobia and the Ideological Assault From the Past to the Present Volume 1: How Foreign Beliefs Caused the Decline of Muslim Civilization
Umar Quinn https://t.co/3AbvdE1PHb",2022-10-11,
"@choco_______boy @ashoswai ⛔AIMIM leader
Remove police for 15 minutes,we could finish off 100 crores Hindus- Akbaruddin Owaisi
⛔Allah has given us the right to Jihad’,cleric incites Muslims to take up arms
On Dec.18, 2019,MK Islamic channel uploaded a repugnant speech by one Maulana Jarjis Ansari H.",2022-10-11,
"Outraged but hardly surprised by reports of #Iran regime killing protesters in #Sanandaj and beyond. This brutal, venal regime uses a potemkin Islam to conceal a pilfering, repressive kleptocracy. We stand with Iranian women and all its citizens who demand and deserve freedom.",2022-10-11,"Washington, DC"
"Dubika Liyaqat (muslim by name) in Hindu temple doing shirk.

She is Godi Media anchor always spews venoms against Muslims. https://t.co/6ueyPpJBhn",2022-10-11,"Assam, India"
"@fareezaqureshi7 Do u know think that the message is wrong or you have right to wear anything against Islam. Whatever the message is, is damn true because a father is always ignoring such facts.",2022-10-11,Sky to Earth 
@MuslimsDwnUnder The correct line is...Islam does sanction war or hatred..😂😂,2022-10-11,
"@IRSvibechecker @TabukiJones @AetiusRF I wish I could lose that badly at everything I do.

Facts:

2002 - political Islam fast growing global force and considered serious challenger to Western liberal democracy.

20 years of war by Western liberal democracy on Political Islam.

2022- political Islam basically dead.",2022-10-11,
"@e_karil @lux43terna I'm torn mainly cause no true Scotsman has been used to put down any sort of dissent example, tattoos are sinful.
Halal in Shia
Shias aren't Muslim",2022-10-11,Stolen Seneca land
"Tipu Express Renamed After Wodeyars; 'Attempt to Erase Legacy of Muslim Rulers,' Say Activists https://t.co/bzFJmdaU5j via @thewire_in",2022-10-11,Ayalur in Palakkad (Kerala)
"@RanaMaalik @SalmanK30361594
@ghalatfhami @Asjadbukhari1
@AntiTheist__
@ZLodhi1 @saeedma08417161

Quranic verses on splitting moon explained by 2 authentic sources.

Mirza Tahir Ahmed Ahmadi Muslim Caliph

Tafheem ul Quran, Molana Modudi

 https://t.co/e4hCCxNVEr https://t.co/tPERi8HzPl",2022-10-11,Global Citizen
"@RishiJoeSanu @_alice_evans Literally reverse dowry, where the groom pays the bride. In Islam this is called ""mehr."" 

You are correct that many South Asian Muslims have adopted the prevailing practice of dowry, and in practice have both dowry and mehr at the time of a marriage.",2022-10-11,"Huntsville, AL"
"#Godlovers @the_hindu Or @Muslim

To get the wonderful knowledge of Spiritual Path which is totally based on holy scriptures ⤵️
🤳  Download from Playstore

#SantRampalJiMaharaj_App https://t.co/IbyzH2t7zG",2022-10-11,
"@IliieTurtles007 @ufc @CharlesDoBronxs @MAKHACHEVMMA Even though im rooting for islam, this was funny.😂",2022-10-11,"Tampere, Suomi"
@Syyedah1 @babes_muslim amazing body,2022-10-11,
"That does not justify the killing of Muslims in China either. Killing innocent civilians ( Muslims or non Muslims )
is a barbarianism. https://t.co/2GrkUvXVax",2022-10-11,
"@jewgrimm @leftofcool13 @starsbIeedin Colonial name? LMAO. That land belongs to Palestinian Muslims, Christians and Jews. You came up with the most pathetic excuse for gen-ocide.",2022-10-11,Muslim 
"@kays_wav You don’t change the laws of your country for 28 days. No one in the West changes their laws for the World Cup, why should Muslim countries do it? If it’s the World Cup then how come they don’t have segregated fan sections in the west to respect Islamic boundaries?",2022-10-11,"Oshawa, Ontario"
@sardesairajdeep @ArvindKejriwal If Kejriwal is a proud Muslim he should say it openly. Why he becomes a saint when he goes to Uttarakhand and becomes mulla at Gujrat. If not he should take a open stand like Mulayam  Singh Yadav who never hesitate to tell the public that he takes all care of Muslims,2022-10-11,"Chandigarh, India"
"Dalits are being questioned by the Delhi Police for taking Dr. Ambedkar’s 22 vows which call for equality amongst all while BJP leaders are openly talking about boycotting Muslims with impunity.
#Bharatjodoyatra

https://t.co/EGA3EL9voi",2022-10-11,"New Delhi, India"
@FrenchKid777 @5Pillarsuk Yeah the shah was placed to power by the Zionists and the Shiites overthrew him. Whereas sunnis believe it's haraam to rebel against a so called Muslim leader who even rapez ones wife. Keep coping the Shiites are on the right perfect path.🤣🤣🤣,2022-10-11,
"@al_kashmiri__ Taqleed &amp; Ishq are two words that destroyed many generations of Muslims (especially in IndoPakistan)
-Shaykh Badee uddin shah sindhi rahimahullah.
I just LOVE his speeches. He refuted so many shubuhat that are promoted by sufis today ( taqi usmani, makki hijazi and saqib shami)",2022-10-11,
"1. #India's Bharatiya Janata Party (BJP) MP call for #economic boycott of #Muslims = #WashRinseRepeat 1933 Germany economic boycott of Jews.
https://t.co/iUVPamMEjC
https://t.co/31KBH7yBrs",2022-10-11,Pennsylvania USA
@Editimfon What do you mean by turn down exactly? Any well meaning Nigeria supporting any northern candidate or Muslim Muslim ticket in this 2023 is not serious about the progress and unity of the country..,2022-10-11,Gondor..
"@HarryBo96890762 @MarinaMedvin American forces intentionally dropped bombs on a school playground? I'm aware of zero.
  As far as the Middle East Muslims - their warriors intentionally dress in civilian clothes, and hide among civilians which is 100% on them.",2022-10-11,
@DoubleA_OTW @ABBUG4201 @basedbuddho @basedpakigirl OK now shutup kafir. Take your shahada again if you wanna die as a muslim. https://t.co/1pjnvvizI4,2022-10-11,
@Brian57174698 @McGregors_Ankle @gusshnaps @MAKHACHEVMMA Islam fought all bums no one in the top 5. and Doberman and green are good but not title shot worthy,2022-10-11,
"There is a rather significant amount of Islamophobia in atheist Facebook groups. I’m not a fan of it. Religion in general, not just Islam, has been used to commit great atrocities. I’m an atheist, without religion or belief in deities—but I’m not an asshole.",2022-10-11,"Irvine, CA"
"@ChrisTaylor8622 @freep “Dearborn”

Lots of conservative folks in Dearborn because most are Muslim.",2022-10-11,
"Hindu man forcibly converted to Islam in Pakistan

https://t.co/xPQUfYqzbC",2022-10-11,"Qazigund, Jammu & Kashmir"
"Pakistan was built on name of Islam, but it’s constitution was not set on its principles.",2022-10-11,Pakistan
"@ukhomeoffice  today pledges to begin the mass deportation of the Muslim rape gangs, their families and apologists.

At last ... thank you!

... only no, the Home Office is as hypocritical as the political parties who sell our children for votes https://t.co/aB3bIJhNuY",2022-10-11,Somewhere over the rainbow
"Many people will not like this picture of Modi....
Read Muslims and Hindus who does not accept Ram https://t.co/ObegLntJMg",2022-10-11,"Mumbai, India"
"@ChipsAwayUK 
Free estimate is the only good thing about, other than that, complete waste of time. I had a local repairer booked out, when he arrived he couldn't get a colour match for my Lexus silver was advised this will be ordered by Headoffice since then silence from the rep.",2022-10-11,London
@Osva65554757 i dnt think so...k more of the ppl want islam!!!,2022-10-11,
"Muslims are sure their way is the way, Jews are sure their way is the way, Christians are sure their way is the way, New-agers are sure their way is the way, and so on.

I’d imagine that the creator looks upon all of us with love, grateful for all of the ways we connect to him.",2022-10-11,
@Voice_For_India Alhamdulillah They all are Muslim now 💕,2022-10-11,peshawar 
Visible Muslim women can't love nature (or even dare to educate others about it) without being subjected to racism and Islamophobia - sending love and solidarity to @AraMostarin 💚 https://t.co/L6Uqg4uYS2,2022-10-11,Co-existing in London / Luton
"In Pakistan, Muslim landlord strips Hindu woman worker naked, hangs her upside down, beats her, rapes with henchmen
https://t.co/9INeMRHvWg",2022-10-11,"Qazigund, Jammu & Kashmir"
"@elliot20201 @1carus_x yes, the nsfr tag started bc of non muslims to begin with n it's completely unnecessary n ridiculous, i could go on a rant about it forever. the only thing that shld be tagged on ramadan is nsfw and even that tag isn't mandatory but it's nice when ppl do that, the rest is just bs",2022-10-11,20 | he | arab | proship dni
"BREAKING : Islamic Cleric Reveals How Chinese, Accused Of Killing Kano Lover, Converted To Islam https://t.co/PutYXZiv9c",2022-10-11,lagos
#Qatar #Pakistan #Saudi and many more Muslim countries in line are under shadow of #ChinesCapitalism https://t.co/hM27XGGZjq,2022-10-11,Turkey
"All you gotta do is pick up the good BOOK, read it in it’s entirety, understand the context, the paradoxes and the doctrines. Understand the nature of God, sin, salvation and the doom of sinners, and Islam will be the most detested philosophy you’ve ever encountered. 😊",2022-10-11,"Greater Accra, Ghana"
"I am Muslim so ex PM Imran khan. I want to remind him,that Allah said in Quran those who spread false talk or Chor Chor among Muslim community for such a person there will be a painful torment in this world and in the Hereafter. Alnoor19. Qari Siddique",2022-10-11,"Sheffield, England"
"Fix accountability for #miscarriage of #justice due to police excesses, unjustified prosecution. Law should enable payment of compensation, action against officials responsible: Panel of retd public officials on #Delhi riots of 2020. Report by @iyerkavi 
https://t.co/x26LwGgXsJ",2022-10-11,
Pakistan: Hindu man forcibly converted to Islam https://t.co/P0UPHC4qlk,2022-10-11,Noida
"Simply ignorant that's why Allah subhan wa Tallah send Azab on us.
Allah utilizes tyrants over to teach Islam and bring back to siratal mushtaqeem https://t.co/ZhWtiKpohi",2022-10-11,
"This photo was taken in Damascus in 1899. The dwarf is Samir. He is a Christian and cannot walk. The one who carries him on his back is Muhammad. He is a Muslim and he is blind.

Mohamed relies on Samir to tell him where to go, and Samir uses his friend's back to navigate. https://t.co/Uqq3up8mbx",2022-10-11,
"@SidwellMichael @TheReal_LRH Does the BBC know this ?
Faisal The lefty Islam?
They'll 
Be apoplectic if they have to report it",2022-10-11,
